Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,"WHO Region",NewCases,CaseFatalityRate
"New South Wales",Australia,-33.8688,151.209,2020/02/04,4,0,2,2,"Western Pacific",2,0
"South Australia",Australia,-34.9285,138.601,2020/02/05,2,0,0,2,"Western Pacific",-2,0
Victoria,Australia,-37.8136,144.963,2020/02/05,4,0,0,4,"Western Pacific",4,0
"New South Wales",Australia,-33.8688,151.209,2020/02/05,4,0,2,2,"Western Pacific",4,0
Queensland,Australia,-27.4698,153.025,2020/02/05,3,0,0,3,"Western Pacific",3,0
Victoria,Australia,-37.8136,144.963,2020/02/05,4,0,0,4,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/05,2,0,0,2,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/05,3,0,0,3,"Western Pacific",1,0
"New South Wales",Australia,-33.8688,151.209,2020/02/05,4,0,2,2,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/06,4,0,0,4,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/06,2,0,0,2,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/06,4,0,0,4,"Western Pacific",2,0
"New South Wales",Australia,-33.8688,151.209,2020/02/06,4,0,2,2,"Western Pacific",4,0
"New South Wales",Australia,-33.8688,151.209,2020/02/06,4,0,2,2,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/06,2,0,0,2,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/06,4,0,0,4,"Western Pacific",2,0
Victoria,Australia,-37.8136,144.963,2020/02/06,4,0,0,4,"Western Pacific",0,0
"New South Wales",Australia,-33.8688,151.209,2020/02/07,4,0,2,2,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/07,4,0,0,4,"Western Pacific",0,0
"South Australia",Australia,-34.9285,138.601,2020/02/07,2,0,0,2,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/07,5,0,0,5,"Western Pacific",3,0
"New South Wales",Australia,-33.8688,151.209,2020/02/07,4,0,2,2,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/07,4,0,0,4,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/07,2,0,0,2,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/07,5,0,0,5,"Western Pacific",3,0
"New South Wales",Australia,-33.8688,151.209,2020/02/08,4,0,2,2,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/08,4,0,0,4,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/08,2,0,0,2,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/08,5,0,0,5,"Western Pacific",3,0
"New South Wales",Australia,-33.8688,151.209,2020/02/08,4,0,2,2,"Western Pacific",-1,0
Victoria,Australia,-37.8136,144.963,2020/02/08,4,0,0,4,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/08,2,0,0,2,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/08,5,0,0,5,"Western Pacific",3,0
"South Australia",Australia,-34.9285,138.601,2020/02/09,2,0,0,2,"Western Pacific",2,0
"New South Wales",Australia,-33.8688,151.209,2020/02/09,4,0,2,2,"Western Pacific",4,0
Queensland,Australia,-27.4698,153.025,2020/02/09,5,0,0,5,"Western Pacific",5,0
Victoria,Australia,-37.8136,144.963,2020/02/09,4,0,0,4,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/09,4,0,0,4,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/09,2,0,0,2,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/09,5,0,0,5,"Western Pacific",3,0
"New South Wales",Australia,-33.8688,151.209,2020/02/09,4,0,2,2,"Western Pacific",4,0
"New South Wales",Australia,-33.8688,151.209,2020/02/10,4,0,2,2,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/10,2,0,0,2,"Western Pacific",2,0
Victoria,Australia,-37.8136,144.963,2020/02/10,4,0,0,4,"Western Pacific",4,0
Queensland,Australia,-27.4698,153.025,2020/02/10,5,0,0,5,"Western Pacific",1,0
Victoria,Australia,-37.8136,144.963,2020/02/10,4,0,0,4,"Western Pacific",-1,0
"South Australia",Australia,-34.9285,138.601,2020/02/10,2,0,0,2,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/10,5,0,0,5,"Western Pacific",3,0
"New South Wales",Australia,-33.8688,151.209,2020/02/10,4,0,2,2,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/11,2,0,0,2,"Western Pacific",-2,0
Queensland,Australia,-27.4698,153.025,2020/02/11,5,0,0,5,"Western Pacific",3,0
"New South Wales",Australia,-33.8688,151.209,2020/02/11,4,0,2,2,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/11,4,0,0,4,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/11,2,0,0,2,"Western Pacific",-2,0
Queensland,Australia,-27.4698,153.025,2020/02/11,5,0,0,5,"Western Pacific",3,0
"New South Wales",Australia,-33.8688,151.209,2020/02/11,4,0,2,2,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/11,4,0,0,4,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/12,4,0,0,4,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/12,2,0,0,2,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/12,5,0,0,5,"Western Pacific",3,0
"New South Wales",Australia,-33.8688,151.209,2020/02/12,4,0,2,2,"Western Pacific",-1,0
Queensland,Australia,-27.4698,153.025,2020/02/12,5,0,0,5,"Western Pacific",5,0
"South Australia",Australia,-34.9285,138.601,2020/02/12,2,0,0,2,"Western Pacific",-3,0
"New South Wales",Australia,-33.8688,151.209,2020/02/12,4,0,2,2,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/12,4,0,0,4,"Western Pacific",4,0
"New South Wales",Australia,-33.8688,151.209,2020/02/13,4,0,4,0,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/13,4,0,4,0,"Western Pacific",0,0
Queensland,Australia,-27.4698,153.025,2020/02/13,5,0,0,5,"Western Pacific",5,0
"South Australia",Australia,-34.9285,138.601,2020/02/13,2,0,0,2,"Western Pacific",-3,0
"South Australia",Australia,-34.9285,138.601,2020/02/13,2,0,0,2,"Western Pacific",2,0
Victoria,Australia,-37.8136,144.963,2020/02/13,4,0,4,0,"Western Pacific",4,0
Queensland,Australia,-27.4698,153.025,2020/02/13,5,0,0,5,"Western Pacific",5,0
